,penyakit,gejala
11,Water Mold Infection (Pythiosis) in Cats," and Types

Pythiosis of the lungs, brain, or sinus will manifest in the cat as stuffiness, head pain, fever, coughing, and swelling of the sinuses. Infection of the cat's digestive tract leads to a chronic disease, which causes the tissue of the stomach and/or intestines to become severely thick. Other symptoms of gastrointestinal (GI) pythiosis include:


    Fever
    Vomiting
    Diarrhea
    Regurgitation
    Long-term 	weight loss
    Abdominal 	mass
    Abdominal 	pain
    Enlarged 	lymph nodes


Pythiosis of the skin (or cutaneous pythiosis) results in the development of swollen, non-healing wounds, and invasive masses of ulcerated pus-filled nodules and draining tracts. Tissue death (necrosis) follows, with the affected skin eventually turning black and wasting.

"
12,Wart Virus in Cats," and Types

 

Symptoms related to this disorder include bad breath associated with oral papillomatosis, bleeding from the mouth, increased or decreased appetite, and excessive excretion of saliva. In cats, papillomas will appear around the head, neck and limbs, and will be either solitary or in multiple groups.

 

"
13,Walking Dandruff in Cats," in Cats
Cats with walking dandruff usually show these symptoms:


	
	Excessive skin scaling and dandruff, generally along the back
	
	
	Itching
	
	
	Overgrooming
	
	
	Hair loss
	
	
	Crusty sores
	
	
	Some cats may have very mild or no symptoms
	


"
14,Vomiting with Bile in Cats," and Types




	Chronic intermittent vomiting containing bile
	Usually occurs in the morning or late night just before eating
	Abdominal discomfort
	Nausea
	Lack of appetite
	Weight loss




"
15,Vitamin B1 (Thiamine) Deficiency in Cats," and Types

 Neurological signs are frequently seen with thiamine deficiency and include:


    Ventriflexion (bending      towards the floor) or curling of the neck
    Incoordination
    Abnormal or spastic      gait
    Circling
    Falling
    Head tilt
    Dilated pupils
    Opisthotonos (backward arching of the head, neck, and spine)
    Stupor
    Seizures


Neurological symptoms may be preceded by gastrointestinal symptoms such as vomiting. Excess salivation, depressed appetite, and weight loss can also be seen before neurological symptoms present.

"
16,Vitamin A Poisoning in Cats," and Types


    Lethargy
    Loss of appetite
    Weight loss
    Lameness
    Rough hair coat
    Constipation
    Abnormal sitting posture (e.g., raised front limbs)
    Skin allergy on neck and front limb regions


"
17,Vestibular Disease in Cats," of Vestibular Disease in Cats

	Rapid, jerking eye movements (nystagmus)
	Head tilt
	Circling or falling to one side
	Loss of balance (ataxia)
	Vomiting, nausea, decreased appetite
	Facial drooping, “Horner’s Syndrome” 


"
18,Verterbral Disc Inflammation in Cats," and Types


    Back pain
    Difficulty in standing and jumping
    Stiff, uncoordinated walk
    Limb weakness
    Lameness
    Fever
    Paralysis in some patients, 	especially those not treated


"
19,Ventricular Standstill in Cats, and Types        Severe systemic illness or cardiac disease in many patients     Other cardiac arrhythmias in some     Syncope (fainting)     Cardiac arrest (the heart stops momentarily)     Collapse     Sudden death    
20,Vascular Ring Anomalies in Cats," and Types


    Regurgitation of      undigested solid food in young cats (less than 6 months of age)
    Malnourishment
    Aspiration pneumonia      resulting in coughing, increased heart rate and heavy breathing


Time between eating and regurgitation varies.

"
21,Vaginitis (Vaginal Inflammation) in Cats," of Vaginitis in Cats
As with all illnesses in cats, vaginitis can be difficult to diagnose at home. Some common symptoms include:


	
	Scooting or rubbing the back end on floors or other surfaces
	
	
	Excessive grooming under the tail/around the vulva
	
	
	Urinating frequently, usually smaller amounts
	
	
	Urinating in inappropriate locations
	
	
	Discharge from the vulva
	
	
	Redness and swelling under the tail
	


"
22,Vaginal Discharge in Cats,"



Symptoms can include discharge (mucus, blood, pus) from the cat's vagina, spotting of blood, scooting of the hindquarters, and a higher incidence of male attraction.



"
23,Vaginal Abnormalities in Cats," and Types
 

    Vulvar discharge
    Excessive licking of the vulva
    Frequent or inappropriate urination
    Straining to urinate or defecate
    Wetting in the house, in the bed, etc.
    Attractive to males
    Refuses mating
    Mass at lips of the vulva
    Skin disorder around the vulva
    Abnormally small vulva

 
"
24,Vacuolar Hepatopathy in Cats," and Types
 
Symptoms are ultimately based on the underlying cause of the hepatopathy; some of the more common signs include:
 

    Panting
    Lethargy
    Loss of hair (alopecia)
    Increased thirst and urination (polydipsia and polyuria)
    Increased appetite (polyphagia)
    Abdominal distention
    Muscle weakness
    Bruises on skin
    Friable (easily crumbled) skin

 
Although it is rare, the cat may demonstrate symptoms of liver failure.
 
"
25,Uveitis in Cats," of Uveitis in Cats
Eye conditions in cats tend to be sneaky, and uveitis is no different. That’s because cats are good at hiding their illnesses and may simply hide more when they aren’t feeling their best or are in pain.

Cat uveitis can have an acute or sudden onset, or it can develop slowly and remain undetected for some time.

Because uveitis can cause blindness, the only thing you may notice is your cat’s sudden disappearance, as this condition would certainly be alarming to them and cause them to retreat.

If you do notice physical signs, either one or both of your cat’s eyes can be affected. Most often, a notably “red eye” is seen. Your cat may squint, appear to be sensitive to light, and have a watery eye. This is because uveitis is painful.

The color of your cat’s iris may be altered or cloudy. Pupil size may be affected, along with your cat’s vision, though this can be harder to detect. If glaucoma (buildup of pressure that damages the optic nerve) accompanies the uveitis, your cat’s eye may be enlarged or seem to stick out.

If a generalized infection or virus is involved in uveitis, your cat may act ill and show other clinical signs depending upon the particular issue.



Image Credit: Courtesy of KN Gelatt, 2022

Causes of Cat Uveitis
There are two general categories for causes of cat uveitis:


	
	Ocular, or having to do with the eye
	
	
	Systemic causes
	


Ocular Causes of Uveitis in Cats

Ocular causes include:


	
	Tears on the surface of the eye or within the cornea (the outermost cover of the eye), called corneal ulcers
	
	
	Trauma to the eye
	
	
	Cataracts (clouding of the eye lens)
	
	
	Tumors
	


Systemic "
26,UTIs in Cats (Urinary Tract Infections in Cats)," of Urinary Tract Infections in Cats
Most cats with urinary tract infections will make frequent trips to the litter box and seem restless. They may go into the box and strain to pee but produce either a small amount of urine or no urine at all. Occasionally, their urine may appear bloody.

Some cats will avoid the litter box because they have associated it with the discomfort caused by the UTI. Instead, they may urinate in other places in your home. Sinks, bathtubs, and clean laundry are popular spots. Your cat also may vomit and seem lethargic as the problem progresses—especially male cats.

In most cases, acute (sudden) and chronic urinary tract infections will cause very similar symptoms. However, some cats with the chronic form show no signs of disease.

"
27,Urine Crystals and Bladder Stones in Cats," of Urine Crystals and Bladder Stones in Cats
Symptoms of bladder cystals or stones in cats include:


	
	Small, frequent urinations
	
	
	Straining to urinate
	
	
	“Accidents” outside of the litter box—especially places like sinks or laundry
	
	
	Bloody urine
	


Signs your male cat may be experiencing a urinary emergency:


	
	Frequent trips to the litter box with little or no urine produced
	
	
	Straining with little to no urine produced
	
	
	Crying, restlessness
	
	
	Lethargy
	
	
	Decreased appetite
	
	
	Abdominal pain
	
	
	Vomiting
	


While symptoms seen in bladder crystals and stones are similar, symptoms of bladder stones tend to go on longer than crystals.

"
28,Urinating Outside the Litter Box and Wandering Away from Home in Cats," and Types



Marking


	Cat urinates or defecates in a specific area that it has chosen
	Owner may not approve of the chosen area
	Urinating or defecating outside the litter box
	Urinating or defecating near doors or windows
	Can occur on a horizontal surface, such as the ground
	Can occur on vertical or upright surface, such as a wall or furniture (spraying)




Roaming


	Wandering away from home




"
29,Urinary Tract Stones/Crystals Made Up Of Uric Acid in Cats," and Types

While many cats will not show any signs of the disease, the most common symptoms usually deal with urination issues. These can include abnormal urine streams, difficulty urinating (dysuria), blood in the urine (hematuria), cloudy urine, and eventually the complete inability to urinate (anuria).

"
30,Urinary Tract / Kidney Stones (Cystine) in Cats," and Types

Typical symptoms can include pollakiuria, dysuria, and an abnormal flow of urine (post-renal uremia).

"
31,Urinary Tract / Kidney Stones (Calcium Phosphate) in Cats," and Types

The symptoms may vary depending on the location, size, and number of stones within the urinary tract. In fact, some cats display no outwardly visible signs of the issue; it is only discovered later during a routine checkup, if at all. The following are some typical symptoms associated with calcium phosphate urolithiasis:


    Increased urination (polyuria)
    Difficulty urinating (e.g., 	dribbling of urine)
    Pain when urinating
    Blood in urine


"
32,"Urinary Tract Infection, Lower (Bacterial) in Cats"," related to this type of infection include inflammation of the affected tissue and urinary difficulties.

 

Cats of all ages can be affected, but vulnerability increases with advancing age (common in cats 10 years or older). In such cases, stone formation, prostate disease, and tumors are frequently seen.

 

Symptoms and Types

 


	Difficulty urinating
	Blood in urine (hematuria)
	Cloudy or malodorous urine
	Frequent urination, but only in small amounts
	Urinary incontinence, especially during confinement or at places that are not customary (i.e., locations he has not peed before)
	Urination when bladder is touched (occasional)


 

"
33,Urinary Tract Blockage in Cats," of Urinary Tract Blockage in Cats 
Urinary tract blockages can have symptoms similar to other urinary conditions. Feline lower urinary tract disease (FLUTD) is a blanket term to describe urinary tract conditions in cats involving the urethra and bladder, including urinary tract infections, bladder stones, and inflammation (swelling). One common cause of FLUTD is feline idiopathic cystitis (FIC). FIC is an inflammatory condition of the bladder that occurs secondary to stress.

FLUTD, FIC, and urethral obstruction can all result in similar clinical signs and make it difficult for the pet parent to determine which condition is affecting their cat. This determination is extremely important, because although FLUTD and FIC are typically not urgent, urethral obstruction can be fatal.

Common clinical signs noted with FLUTD, FIC, and the onset of urethral obstruction include:


	
	Bloody urine
	
	
	Urgency to urinate (more frequent trips to the litter box)
	
	
	Urinating smaller amounts more often
	
	
	Straining to urinate (which can sometimes be confused with straining to defecate)
	
	
	Urinating outside the litter box (often in strange places such as a bathtub, sink, or tile floor)
	
	
	Licking the genital area
	
	
	Vocalization (meowing loudly and often) as if in pain or distress
	
	
	Lethargy/increased hiding
	
	
	Decreased appetite
	
	
	Vomiting/diarrhea
	


The defining sign of your cat having a urethral obstruction is straining to urinate with no urine production or only a few drops of urine produced. It can be hard to tell, especially if your pet has been going to the litter box frequently or urinating outside the litter box in the house. Placing your cat in a small bathroom with a litter box for a few hours to check for any urine production may be the best way to determine if they are urinating.

If you are unsure your cat is producing urine, consider this an emergency, and have them evaluated by a veterinarian immediately. Life-threatening consequences can occur in as little as 12-24 hours of being unable to urinate. Death from untreated obstruction may occur in as little as 36-48 hours.

"
34,Urinary Incontinence in Cats," of Urinary Incontinence in Cats
Urinary incontinence in cats can easily be confused with inappropriate urination (urination that occurs anywhere other than outdoors or in the litter box). Inappropriate urination is more common, but it is a voluntary (purposeful) action. Urinary incontinence will happen involuntarily, without the cat’s knowledge.


	
	Symptoms of involuntary leakage of urine (urinary incontinence) include:

	
		
		Not squatting or in position to urinate
		
	
	



	
	
		
		Cat unaware of urination
		
		
		Urine found in bed during sleep or rest
		
		
		Urine staining or smell near the urethral opening (under the tail). This can be seen as a skin infection.
		
	
	
	
	These symptoms can be seen in both urinary incontinence and inappropriate urination:

	
		
		Chronic urinary tract infection
		
		
		Hematuria (blood in urine)
		
		
		Excessive grooming in urethral area
		
	
	
	
	Symptoms of inappropriate urination that are not seen with urinary incontinence include:

	
		
		Posturing to urinate
		
		
		Straining to urinate
		
		
		Pain during urination
		
		
		Reoccurring urination in certain areas of the house
		
		
		Urination on vertical surfaces (behavioral)
		
	
	


"
35,Urinary Bladder Cancer (Rhabdomyosarcoma) in Cats," and Types


    Predominantly 	consistent with a lower urinary tract infection
    Blood 	in the urine
    Straining 	to urinate
    Frequent 	urination in small quantities
    Urine 	retention/inability to urinate


"
36,Urethral Shaft Abnormality in Cats,"

This condition is rare, and when it does occur it may be asymptomatic, with no apparent urination problems. When symptoms are apparent, they often present as occasional or continuous incontinence, and inflammation of the vagina (vaginitis) from urine scalding the vaginal tissue.

 
"
37,Ureter Stones in Cats," and Types

Some cats with ureterolithiasis display no symptoms, especially during the initial stages. Otherwise, be attentive to the following symptoms:


    Pain
    Kidney failure
    Enlargement or shrinkage of the kidney
    Accumulation of waste products like urea
    Rupture of ureter, resulting in urine accumulation in the abdomen


"
38,Upper Respiratory Infection in Cats," of Upper Respiratory Infection in Cats

	Sneezing
	
	Drainage from the eyes
	
	
	Conjunctivitis (swelling or redness of the membranes around the eyes)
	
	
	Squinting
	
	
	Nasal drainage or crust
	
	
	Nasal congestion
	
	
	Decreased or absent appetite
	
	
	Cough
	
	
	Lethargy
	
	
	Fever
	
	
	Ulcers in the mouth
	
	
	Lymph node swelling
	
	
	Difficulty breathing
	




Cat with severe upper respiratory infection and has a significant amount of nasal discharge and some ocular discharge.

Photo By: Sandra Mitchell, DVM


 

"
39,Upper Respiratory Infection (Chlamydia) in Cats," and Types



Chlamydiosis infection affects the respiratory system, the eyes, the gastrointestinal system and the reproduction systems of animals. Cats experience standard upper respiratory tract symptoms, including: 


	Sneezing
	Watery eyes
	Discharge from eyes
	Coughing
	Difficulty breathing
	Runny nose
	Lack of appetite (anorexia)
	Fever
	Pneumonia, if left untreated




"
40,Upper and Lower Jaw Fracture in Cats," and Types

 

Symptoms vary greatly depending upon the type, location, extent, and cause of injury. Some of the more common ones include:

 


	Facial deformity
	Oral or nasal bleeding
	Inability to open or close the jaw
	Fractured teeth
	Facial distortion


 

"
41,Umbilical Hernia in Cats," and Types



Umbilical hernias may be complicated or uncomplicated. A complicated hernia is one in which contents of the abdominal cavity, such as a loop of intestine, have passed through the opening and become entrapped.



An uncomplicated umbilical hernia is associated with a soft swelling in the umbilical area. This swelling may be variable in size and may come and go. Otherwise, the cat will appear healthy.



Symptoms seen with a complicated umbilical hernia may include:




	Pain and warmth, especially at the site of the umbilical swelling
	Vomiting
	Lack of appetite
	Depression




"
42,Twisted Spleen in Cats, and Types       Intermittent 	lack of appetite     Vomiting     Weight 	loss     Red 	to brown colored urine     Abdominal 	pain     Pale 	gums     Increased 	heart rate     Abdominal 	mass that can be felt   
43,Tumors of the Vagina in Cats," and Types
 

    Firm mass
    Constipation
    Discharge from the vagina                

 
"
44,Tumors of the Gums (Epulis) in Cats," and Types

There are three categories of epulides: fibromatous, ossifying, and acanthomatous. Acanthomatous epuli, in particular, are highly invasive to the bone and  are usually located on the front part of the lower jaw. On occasion your cat will display no visible outward signs. It is therefore important you look inside your cat's mouth if you suspect a problem. Symptoms associated with epulides include:


    Excessive 	salivation
    Bad 	breath (halitosis)
    Trouble 	eating
    Blood 	from the mouth
    Weight 	loss
    Enlargement 	of the lymph nodes in the neck
    Asymmetric 	upper or lower jaw


"
45,Tumors of the Endocrine Glands in Cats," and Types

Symptoms depend on the location of the tumor mass. In some patients difficult breathing and change in voice may be seen.

Cause

The cause for this disease is unknown.
 
"
46,Tumor Related to Vaccinations in Cats," and Types

 

Lesions occur at the site of the vaccination, persisting and/or growing in size. In the advanced stages, the lesions will become fixed and occasionally ulcerated.

 

"
47,Tumor of the Thymus in Cats," and Types
 

    Coughing
    Increased      breathing rate 
    Trouble breathing      
    Cranial caval syndrome -- a side effect of heartworm infestation, which often leads to swelling of the head, neck, or forelimbs
    Myasthenia gravis, a neuromuscular disease that leads to muscle weakness, enlarged esophagus, and frequent regurgitation

 
"
48,Tumor of the Nerves in Cats," and Types


    Progressive and chronic lameness 	in forelimb (common symptom)
    Muscle wasting
    Decreased muscle tone
    Uncoordinated movements
    Limb weakness


"
49,Tumor of the Meninges in Cats," and Types
 
The symptoms vary depending upon the location of tumor, but some of the more common symptoms include:
 

    Seizures (more common in dogs)
    Visual deficits
    Abnormal behavior or mental state
    Uncoordinated movements
    Neck or back pain

 
"
50,Tumor of the Eye in Cats," and Types

 


	Possible iris color change
	Dark spot(s) on surface of eye
	Thick and irregular iris
	Possible secondary glaucoma (high pressure in the eye)
	
		Dilated pupil
		Enlarged (bulging) eyeball
		Leads to blindness
	
	


 

"
51,Tularemia in Cats," of Tularemia in Cats
Clinical signs of tularemia in cats can vary from mild to serious, with some cats showing no signs of infection and others becoming dangerously ill. Some common signs and symptoms include:


	
	High fever (104-106F) 
	
	
	Depression and lethargy
	
	
	Large painful lymph nodes 
	
	
	Abdominal pain due to an enlarged liver or spleen
	
	
	Yellowing of the skin, mucous membranes, and whites of eyes (jaundice)
	
	
	Anorexia and vomiting 
	
	
	Dehydration and general weakness
	
	
	Oral ulcers and abscess
	
	
	Sepsis
	


"
52,Tritrichomonas Foetus Infection in Cats," of Tritrichomonas Foetus Infection
Some cats may not show any symptoms associated with T. foetus infection, especially those that are older and in otherwise good health. For most cats, though, the typical symptom is diarrhea that has an extremely bad odor and often contains mucus and/or bright red blood. Cats with T. foetus infection typically have a normal appetite and do not vomit or experience weight loss. But they can experience:


	
	Flatulence
	
	
	Straining to defecate
	
	
	Fecal dribbling/incontinence
	
	
	Inflammation of the anus
	
	
	Increased urge and frequency of defecation
	
	
	Variety of colored stool, though mostly normal
	

"
53,Tremors in Cats: Why Is My Cat Shaking?," of Tremors in Cats
The most obvious symptom of this condition is uncontrollable shaking in a cat. The tremor can either be a small twitch or full-body shaking. 
"
55,Transitional Cell Carcinoma of the Urinary Tract in Cats," and Types


    Straining to urinate
    Frequent urination of small amounts (pollakiuria)
    Blood in urine (hematuria)
    Difficulty urinating (dysuria)
    Wetting on the floor, furniture, bed, etc. (urinary incontinence)

 
"
56,Toxoplasmosis in Cats," are variable depending on which organs become affected.  

The oocysts that are passed in the feces are not infectious at first, but they become infectious after a period ranging from 1 to 5 days, when they undergo a process called sporulation. These oocysts can remain in the environment for many months.

This remarkable ability to survive in the environment is partly to blame for their success. Researchers estimate that about a third of the human population is infected with T. gondii, and the organism has been shown to infect animals like sea otters miles away from the site of the original cat defecation after rains washed the infected feces into the watershed. While concerning, do not fret too much, there are certain precautions you can take to minimize your risk as noted below.  

Symptoms of Toxoplasmosis in Cats
Symptoms are often mild and can go unnoticed in otherwise healthy cats. Symptoms are related to the organ(s) affected by the tachyzoite, which may include: 


	
	Lethargy 
	
	
	Decreased appetite 
	
	
	Weight Loss 
	
	
	Fever 
	



	
	Difficulty breathing 
	
	
	Jaundice 
	
	
	Behavioral Changes 
	
	
	Vision loss 
	
	
	Weakness 
	



	
	Lack of coordination/ circling 
	
	
	Neck pain 
	
	
	Seizures 
	


"
57,Tooth Resorption in Cats," of Tooth Resorption

Symptoms of tooth resorption in cats can range from:


	
	Drooling
	
	
	Having difficulty chewing
	
	
	Dropping food while chewing
	
	
	“Chattering” the jaw while eating
	
	
	Running away from the food bowl
	


"
58,Tooth Fracture in Cats,"

The most common complication involving a tooth fracture is inflammation and infection. In some instances, the tooth's crown may be missing; blood or pink tissue may also be present on or around the affected area. Otherwise, cats with root fractures display constant discomfort and pain.

"
59,Tooth Enamel Malformation in Cats," and Types


    Irregular, 	pitted enamel tooth surface with discoloration of diseased enamel 	and potential exposure of underlying dentin (light brown appearance)
    Early 	or rapid accumulation of plaque and calculus on roughened tooth surface
    Possible 	gingivitis and/or accelerated 	periodontal/gum disease


"
60,Tooth Dislocation or Sudden Loss in Cats," and Types



In cases of intrusion, the affected tooth will appear shorter than normal. In cases with extrusion, the tooth appears longer than normal and can be moved both vertically and horizontally when touched. In cases of lateral luxation, the upper part of the tooth is found deviated on the either side, taking on a crooked appearance. It may be overlapping a nearby tooth to some degree. In cases where there is avulsion of the tooth, the tooth is found to have become completely displaced from its bony socket. This is most often as the result of an injury to the mouth, or to an infection at or near the tooth.



"
61,Too Much Acid in the Body in Cats," and Types

The symptoms may vary considerably, especially if your cat is concurrently compromised by other health problems like diabetes or kidney disease. The most common symptoms that you may notice in a cat that is suffering from metabolic acidosis include:


    Depression (especially if acidosis is severe)
    Rapid and deep breathing
    Diarrhea
    Vomiting
    Fever
    Confusion


"
62,Tonsil Cancer (Squamous Cell Carcinoma) in Cats," and Types


    Difficulty with eating
    Difficulty swallowing
    Bad breath (halitosis)
    Excessive salivation
    Oral discharge with blood
    Breathing difficulties
    Weight loss


Cause


    Exact cause unknown
    Ten times more common in cats 	living in urban areas than those in rural areas; may be related to 	quality of air


"
63,Tongue Cancer (Squamous Cell Carcinoma) in Cats," and Types




	Drooling
	Small white growth under the tongue
	Loose teeth
	Bad Breath (halitosis)
	Difficulty chewing and eating (dysphagia)
	Lack of appetite
	Blood coming from the mouth
	Weight loss




"
64,Toad Poisoning in Cats,"


	
	Drooling/foaming at the mouth
	
	
	Pawing at the face and mouth
	
	
	Shaking the head
	
	
	Vocalizing/crying
	
	
	Red gums
	
	
	Retching/vomiting
	
	
	Diarrhea
	
	
	Fever
	
	
	Stumbling/lack of coordination
	
	
	Tremors/seizures
	
	
	Trouble breathing
	
	
	Increased or decreased heart rate
	
	
	Abnormal heart rhythms (arrhythmias)
	


"
65,Ticks and Tick Control in Cats,"



Ticks may be visibly present on the cat's body, especially as they (the ticks) grow. Ticks have a hard backed shield and can be felt as small bumps during a palpation of the skin, or during regular petting. There may also be other symptoms present if a tick borne disease develops.



"
66,Tick Paralysis in Cats," of Tick Paralysis in Cats
Neurotoxins secreted in the saliva of affected ticks, then transferred to a cat’s bloodstream through a bite, cause rapidly progressing neurologic signs that start with weakness in the cat’s hind limbs and ascend to cause weakness in the forelimbs. Paralysis of all four legs can follow.

Less commonly, cranial nerves may become involved. This causes trouble swallowing and change in voice/meow.

In even more serious cases, respiratory distress can develop due to paralysis of respiratory muscles, possibly causing respiratory failure. Signs associated with this disease will progress rapidly if the tick is not removed promptly.

"
67,Thyroid Cancer (Adenocarcinoma) in Cats," and Types

Following are some of the symptoms commonly related to adenocarcinoma of the thyroid.


    Large fixed or movable mass over 	cat’s trachea covering the larynx
    Dyspnea (difficult breathing)
    Dysphagia (difficulty in 	swallowing)
    Weight loss
    Dysphonia (hoarseness)
    Polydipsia (increased thirst)
    Polyuria (increased amount and/or 	frequency of urine passing)


"
68,Throat Cancer (Chondrosarcoma) in Cats," and Types



Most symptoms are related to involvement of larynx, trachea and surrounding tissues.




	Changes in voice
	Loss of purr
	Harsh, noisy breathing
	Poor exercise stamina
	Difficulty in respiration, cat may breath with mouth open
	Loud noises while breathing
	Bluish mucous membranes
	Sudden collapse
	Difficulty in ingesting food
	Inability to swallow




"
69,Thickening of the Uterine Lining and Fluid Filled Sac in Cats," of Pyometra in Cats
The symptoms of pyometra can vary from subtle (almost unnoticeable) to severe lethargy, vomiting and weakness. Symptoms vary greatly because of a female cat’s opening from the vagina to the uterus called the cervix. This part of the body opens, or dilates, during labor and delivery, as well as during heat. It then closes following heat (or after a cat gives birth). If the cervix is still open, when pyometra develops, the pus can drain out of the body. Cats with an open cervix, or “open pyometra,” are much less sick than those with a closed cervix, “closed pyometra.”  

When the cervix is closed, it traps the pus inside the uterus which can result in the pet becoming septic and toxic shock developing quickly.  

Common signs of pyometra include:  


	
	Pus draining from the vulva: This can be difficult to spot because cats are very meticulous about grooming. Watch for any drainage around the base of the tail or on bedding.  
	
	
	Lethargy, depression, or weakness 
	
	
	Anorexia or decreased appetite 
	
	
	Increased thirst 
	



	
	Vomit or diarrhea 
	
	
	Fever 
	


"
70,The Ultimate Guide to Cat Anxiety," of Cat Anxiety

If your cat has anxiety, you may notice pacing or restlessness, hiding, decreased appetite, vocalization, hypervigilance, trembling, salivation, and excessive grooming.

Here are some other signs of cat anxiety and fear, from mild to severe: 

Mild Signs of Cat Anxiety


	
	Avoiding eye contact
	
	
	Shifting body or head away
	
	
	Holding their tail close to their body
	
	
	Slight tail flicking
	
	
	Partially dilated pupils
	


Moderate Signs of Cat Anxiety


	
	Ears partially to the side
	
	
	Increased dilation of the pupils
	
	
	Increased respiratory rate
	
	
	Looking at the stimulus
	
	
	Holding their tail tight against their body
	
	
	Crouching and leaning away
	


Severe Signs of Cat Anxiety


	
	Trying to escape or completely freezing in place
	
	
	Fully dilated pupils
	
	
	Holding their ears back
	
	
	Hair standing up
	
	
	Staring
	
	
	Aggression
	


"
71,Tetralogy of Fallot in Cats," and Types


    Weakness
    Fainting
    Shortness of breath
    Cyanosis


"
72,Testicular Tumor (Seminoma) in Cats," and Types

Although seminomas rarely causes any clinical symptoms in the animal, some cats exhibit pain due to pressure from the growing tumor. In a few cases, the testicular mass can be palpapated. Even rarer still, some tumors can become malignant and metastasize to other parts of the body.

"
